,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
409,2.5,3,1360,,2009,450000,47.0,63.0
410,1.0,3,1300,,1945,650000,33.0,64.0
411,2.0,5,3120,,1940,900000,31.0,21.0
412,2.5,3,2100,,1905,,33.0,65.0
413,3.5,4,2710,,1995,1050000,44.0,62.0
414,1.75,3,1576,,1968,619000,45.0,69.0
415,3.0,4,2600,11,1939,1950000,32.0,16.0
416,3.5,4,4900,,1926,2499000,32.0,16.0
417,3.75,4,3370,14,1989,1190000,32.0,26.0
418,2.5,3,1370,,2009,450000,47.0,63.0
419,2.25,4,2710,,1940,999000,39.0,63.0
420,1.75,3,2039,,1987,500000,45.0,72.0
421,3.5,4,3100,,1941,1200000,32.0,48.0
422,2.0,3,2040,,1953,775000,41.0,67.0
423,2.5,3,2760,,1975,1300000,41.0,17.0
424,1.75,3,2110,9,1948,739000,34.0,66.0
425,2.0,3,2240,,1952,895000,32.0,57.0
426,3.0,4,3350,,1998,1550000,0.0,9.0
427,2.75,4,2590,,1941,890000,32.0,54.0
428,1.5,2,1120,,1941,,32.0,33.0
429,1.0,1,560,,1988,,50.0,66.0
430,2.25,3,1440,,2003,479950,42.0,59.0
431,,,,,,269900,48.0,47.0
432,1.0,1,637,,1977,,34.0,47.0
434,1.0,1,767,,2000,,33.0,30.0
435,1.75,3,2150,,1979,,28.0,5.0
436,3.0,6,4110,,1973,,0.0,0.0
437,2.75,4,3860,15,2005,1200000,0.0,33.0
438,2.0,1,1270,,,962900,100.0,98.0
439,2.0,4,1600,,1944,,36.0,82.0
440,2.5,4,2120,11,1975,679000,31.0,28.0
441,1.5,2,1060,,1969,255000,41.0,25.0
442,2.5,4,2640,,2004,698000,0.0,19.0
443,1.25,1,775,6,1972,235000,31.0,11.0
444,3.0,4,2610,,1972,799990,26.0,6.0
445,2.0,2,983,,2001,214900,51.0,90.0
446,2.5,3,1690,,1979,499000,29.0,18.0
447,2.5,3,1962,,2000,450000,15.0,60.0
448,2.0,3,1659,,1969,289000,31.0,26.0
449,1.0,2,978,,1979,225000,47.0,33.0
450,2.0,3,1400,,1963,499950,38.0,27.0
451,2.5,3,1544,,1995,459880,50.0,80.0
452,4.5,4,5825,9,2010,1999950,0.0,0.0
453,3.25,5,4330,,1992,949000,15.0,50.0
454,2.5,2,1598,,1998,526888,48.0,67.0
455,3.25,4,5190,,2000,1595000,0.0,0.0
456,2.0,2,900,,2008,380000,50.0,57.0
457,2.5,4,3380,,2003,800000,28.0,12.0
458,3.5,4,2300,,1992,1000000,25.0,0.0
459,2.5,4,2070,8,1974,849000,49.0,26.0
460,4.5,4,3230,,1997,999900,0.0,11.0
461,2.5,2,1325,9,1995,435000,49.0,70.0
462,2.5,2,1435,,2008,449000,50.0,57.0
463,2.5,4,2537,,2014,844000,27.0,7.0
464,2.0,2,1054,,1999,400000,48.0,86.0
465,3.0,4,2280,,1975,700000,42.0,50.0
466,2.5,4,2095,,2002,700000,31.0,22.0
467,2.5,4,2720,,1987,895000,43.0,19.0
468,2.75,3,2910,,1997,849500,17.0,9.0
469,1.75,2,1088,,2006,,15.0,44.0
470,1.75,3,1319,,2002,450000,0.0,38.0
471,1.0,1,500,3,1972,129000,36.0,47.0
472,2.5,4,2510,,2008,850000,33.0,46.0
473,1.75,2,1088,,2006,,15.0,44.0
474,1.75,3,1480,,1978,480000,49.0,13.0
475,2.5,4,3290,,1998,829980,27.0,20.0
476,4.5,7,4350,,1976,698888,0.0,37.0
477,2.0,2,974,,1968,248000,0.0,15.0
478,3.0,5,2997,,1997,800000,27.0,28.0
479,2.25,2,1368,,2013,425000,35.0,9.0
480,2.5,3,1520,,2003,488000,0.0,23.0
481,2.5,4,2982,,2003,829000,30.0,23.0
482,3.75,5,3300,9,2009,950000,28.0,2.0
483,2.5,4,2970,9,1977,825000,26.0,9.0
484,2.5,4,3300,,1934,1200000,26.0,5.0
485,2.25,4,2140,9,1965,594000,45.0,37.0
486,2.5,3,1430,7,1986,495995,40.0,23.0
487,2.0,2,1440,,2010,490000,0.0,11.0
488,3.25,5,4361,,2015,975000,30.0,24.0
489,1.75,3,1420,7,1976,459000,31.0,21.0
490,3.75,5,4000,9,1997,1050000,27.0,20.0
491,2.0,3,1600,,1986,590000,0.0,0.0
492,2.5,3,2639,9,1989,799000,0.0,0.0
493,1.5,3,2060,,1956,629950,48.0,64.0
494,3.0,3,3130,9,1991,925000,0.0,0.0
495,3.5,4,3025,,1975,1099980,26.0,8.0
496,1.0,2,1310,,1959,449994,26.0,5.0
497,1.75,3,1240,,1957,475000,0.0,0.0
498,3.0,4,2460,,1977,715000,39.0,41.0
499,2.0,2,1413,,1979,,47.0,33.0
500,3.25,4,2080,10,1984,748000,34.0,31.0
