,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
416,2.0,3,1211,5,1904,499000,74,83
417,2.0,4,1769,9,1931,599000,56,72
418,1.0,1,861,3,2007,,83,98
419,10.0,10,4412,,1966,1550000,74,84
420,2.0,3,1510,6,1955,585000,19,11
421,1.0,1,773,3,1998,355000,17,8
422,1.0,2,832,5,1924,249000,61,76
423,1.0,2,1320,9,1922,1195000,65,91
424,2.0,3,1854,8,1968,849000,17,6
425,1.0,2,1064,4,1984,239000,52,68
426,1.0,2,990,5,1927,479000,50,62
428,1.0,2,1074,5,1942,289000,55,58
429,2.0,4,2515,9,1952,799000,38,42
430,1.0,2,973,5,1927,200000,57,69
431,1.0,1,907,3,1914,500000,86,99
432,3.0,4,2400,7,1910,699000,65,70
433,1.0,3,1269,6,1912,889000,64,85
434,2.0,2,,,,329000,48,67
435,2.0,4,2512,8,1919,1095000,48,87
436,1.0,2,1043,5,1923,499000,50,48
437,3.5,5,2377,12,1910,899000,61,84
447,2.0,4,2000,8,1958,4100000,27,36
448,1.0,1,557,3,1983,,47,63
449,3.0,5,2584,9,1928,3195000,48,87
450,1.0,2,899,4,1983,899000,48,87
451,3.0,4,1880,8,1956,2250000,30,56
452,4.0,4,3500,10,2013,6950000,36,38
453,2.0,4,3321,11,1978,5599988,0,0
454,7.0,8,6000,10,1936,12999999,25,46
455,3.0,4,2090,7,2008,3100000,44,54
456,1.0,2,865,4,1963,1298000,48,86
457,2.5,3,1465,6,1974,1850000,46,91
458,3.0,4,3029,13,1953,5989500,0,41
459,8.0,6,8328,14,2003,14288000,27,7
460,2.5,4,2490,9,1979,3449000,43,66
461,4.0,4,3000,,1968,5500000,46,91
462,1.5,2,1136,5,1974,1499999,42,86
463,2.0,3,1579,8,1958,2500000,40,20
464,3.0,3,1218,6,2008,1250000,28,36
465,1.0,1,810,5,1924,1979999,28,39
466,7.5,6,4968,15,1926,8800000,22,43
470,2.5,3,1400,,1995,1068000,0,25
471,1.0,2,,4,1947,788000,0,79
472,2.0,3,1460,6,1950,,0,64
473,2.5,5,2640,11,1997,2100000,0,18
474,3.0,4,2710,10,1998,,0,17
475,1.5,3,1130,6,1925,,0,68
476,3.0,5,2840,13,1972,1599950,0,23
477,2.0,3,1650,7,1932,1325000,0,58
478,1.0,3,1140,6,1950,799000,0,48
479,3.0,4,2620,,1970,1595000,0,13
480,1.5,2,1026,,,750000,0,95
481,1.0,3,970,5,1950,,0,79
482,1.0,1,900,6,1950,,0,72
483,2.0,3,1920,8,1925,,0,50
484,3.0,3,1720,7,1960,1775000,0,14
485,2.0,4,2290,8,1961,,0,65
486,2.0,3,1328,6,1985,,0,36
487,2.0,2,2056,5,1952,,0,17
488,2.0,3,2000,6,1950,,0,71
489,4.0,4,2781,8,2002,,0,42
490,2.5,4,2060,7,1985,1900000,0,46
491,3.0,5,2980,10,1987,2300000,0,74
492,3.0,2,1729,5,1997,1175000,0,10
493,,2,1800,4,1950,,0,89
494,2.5,3,1570,6,1956,,0,18
495,3.0,4,2965,,1954,2249000,0,63
496,2.5,4,3410,8,1984,4000000,0,8
497,2.0,3,1220,5,1952,950000,0,33
498,2.0,3,,,1944,999000,0,62
499,2.0,4,1730,6,1940,,0,78
500,2.0,2,756,4,1979,,32,51
501,1.0,2,720,4,1940,,0,74
502,1.0,4,1282,6,1941,,0,77
503,2.5,3,2094,7,2008,1250000,0,29
504,2.5,4,1910,7,1963,,0,11
505,2.0,3,1110,7,1940,,0,74
506,1.0,1,450,2,1971,,37,55
507,2.0,3,1110,5,1955,,0,14
508,1.0,1,540,2,1971,429000,39,57
509,1.0,1,486,2,1972,,0,34
